date,RMRF,SMB,HML,RMW,CMA,WML,Rev
1998-10-09,0.0541,-0.0374,0.0069,0.0392,-0.026,-0.0102,0.0102
1998-10-13,0.0125,-0.0015,-0.0404,-0.0417,0.0036,-0.0022,0.0022
1998-10-14,-0.0279,-0.0654,0.0422,0.052,-0.0172,0.0632,-0.0632
1998-10-15,0.0631,-0.0239,0.0125,0.0111,-0.0704,-0.0321,0.0321
1998-10-16,-0.026,0.006,0.0128,-0.0153,-0.028,-0.0032,0.0032
1998-10-19,0.0188,-0.026,0.0322,0.0346,-0.0176,-0.0064,0.0064
1998-10-20,0.0173,-0.0206,-0.0177,0.015,-0.011,-9e-4,9e-4
1998-10-21,0.0513,-0.0167,-0.0353,0.0174,-0.0106,-0.0281,0.0281
1998-10-22,0.0325,-0.0248,0.0659,0.0471,-0.0771,-0.0207,0.0207
1998-10-23,-0.0459,0.0025,0.0513,0.0186,-0.0033,0.0367,-0.0367
1998-10-26,-0.0437,0.0031,0.0081,-0.0107,0.0125,0.0373,-0.0373
1998-10-27,-0.0161,0.0113,0.045,0.0718,-0.0182,0.0109,-0.0109
1998-10-28,-0.0077,-0.0071,-0.0214,0.014,0.0178,0.0114,-0.0114
1998-10-29,-0.0445,0.0367,0.0058,-0.0171,-0.01,0.0179,-0.0179
1998-10-30,0.0736,-0.053900000000000003,-0.0267,-0.0336,-0.0149,-0.0448,0.0448
1998-11-03,0.0621,-0.0653,0.0193,0.0203,-0.0437,-0.0077,0.0077
1998-11-04,0.0179,0.0016,-0.039,-0.0404,0.007,-0.014,0.014
1998-11-05,0.0541,0.0031,-0.032,-0.0378,0.0025,-0.0234,0.0234
1998-11-06,0.0136,0.0035,-0.0086,-0.0067,0.0339,0.0052,-0.0052
1998-11-09,0.002,0.0031,0.0015,0.016,0.0139,6e-4,-6e-4
1998-11-10,-0.0312,0.0322,-0.0016,0.027,0.0303,0.0166,-0.0166
1998-11-11,-0.0314,0.0097,0.0353,0.0619,-0.0115,0.0325,-0.0325
1998-11-12,-0.0396,-0.0031,-0.0218,-0.0293,0.0305,0.0081,-0.0081
1998-11-13,0.0179,-0.0234,0.0183,0.0072,-0.0327,0.0186,-0.0186
1998-11-16,0.0484,-0.0146,-0.0297,-0.0167,-0.0028,-0.0304,0.0304
1998-11-17,0.0388,-0.027,0.0186,0.0271,0.0056,-0.0207,0.0207
1998-11-18,0.0245,-0.0373,-0.0121,0.0011,0.0202,-0.0109,0.0109
1998-11-19,-0.0285,0.0264,0.0028,0.0063,0.043,0.0261,-0.0261
1998-11-20,0.0242,-0.003,-0.0101,-0.0543,-0.0199,-0.0285,0.0285
1998-11-23,0.0109,0.0056,-0.0118,-0.0052,0.0011,0.0017,-0.0017
1998-11-24,-0.0046,0.0135,-0.0267,-0.0241,0.0144,0.0071,-0.0071
1998-11-25,0.0334,0.0029,0.0204,0.0438,0.0112,-0.0208,0.0208
1998-11-26,0.0037,-0.0071,0.0465,0.0025,-0.0276,-0.0222,0.0222
1998-11-27,0.0143,0.006,0.0385,0.0531,0.0124,-0.0266,0.0266
1998-11-30,-0.0533,0.0269,-0.0017,-0.0177,0.0161,0.0184,-0.0184
1998-12-01,-0.0113,-0.0037,-0.0167,0.0035,0.004,0.0028,-0.0028
1998-12-02,-0.0125,-0.0237,-0.0214,-0.0171,-0.009,0.0418,-0.0418
1998-12-03,-0.0931,0.0353,0.0273,0.0234,0.0113,0.0552,-0.0552
1998-12-04,-0.0116,0.0265,-0.0141,-0.0319,0.0155,0.0062,-0.0062
1998-12-07,0.0398,0.0068,-0.058,-0.0271,0.0228,-0.0402,0.0402
1998-12-08,-0.0417,0.0042,0.0603,0.0564,-0.0394,0.0174,-0.0174
1998-12-09,-0.0086,0.0296,0.0529,0.0384,-0.016,2e-4,-2e-4
1998-12-10,-0.0067,0.0068,-0.02,-0.0386,-0.0106,0.0035,-0.0035
1998-12-11,-0.0466,0.0153,0.0124,0.0115,0.0216,0.0164,-0.0164
1998-12-14,-0.09,0.0702,0.0378,0.0232,0.0174,0.011,-0.011
